YEAR,18-29,30-44,45-59,60+
1980,39.5,58.2,66,63
1982,23.9,42.9,55.5,54
1984,40.2,58.2,67.3,65.3
1986,20.5,38.5,50.1,53.8
1988,35.7,54.2,64.7,64.7
1990,20,38.9,49.6,53.9
1992,42.8,59.2,68.2,68.2
1994,21,39.3,52.9,57.2
1996,33.1,50.5,62.5,65.7
1998,17.7,35.1,49.1,55.6
2000,34.4,53.8,64.3,67.3
2002,18.1,35.9,50.2,57.1
2004,45,59.5,69,69.7
2006,20.2,36.3,50.4,57.6
2008,48.4,60.7,69.5,71
2010,20.3,36.2,50.4,59
2012,40.9,56.2,65.9,71.2
2014,16.3,30.2,42.6,55
2016,43.3,56.8,66.1,71.3
2018,32.1,45.2,55.6,64.9
