YEAR,18-21,22-25,26-29,30-33,34-37,38-41,42-45,46-49,50-53,54-57,58-61,62-65,66-69,70-73,74-77,78-81,82-85,86-89,90-93,94-97,98-101
1980,32,39.9,47.2,52.5,59.4,61.8,63.5,64.7,65.4,67,67.9,69.8,67.6,64.4,61.3,52.2,49.4,40.1,26.4,24.3,13.3
1982,17.3,23.9,30.6,37.4,43.8,45.5,49.5,52,56.2,58,57.4,58.1,59.9,57.6,52.4,47,39.2,29.3,23.9,17.9,9.1
1984,32.8,40.3,47,53.7,58.5,61.2,62.4,63.9,67.4,70.2,71.1,68.8,69.9,68.6,63.6,59.9,49.4,42.5,32.7,26.5,25.5
1986,15.2,20.2,25.1,31.7,37.6,43,46.4,47.1,49.9,53.1,55.1,58.7,57.8,56.7,52.8,49.4,39.5,34,24.3,,
1988,30.1,36,40.2,47.6,54.7,58.6,60.3,62.8,65,66.8,66.1,67.7,70.5,67.8,65.1,58.5,52.8,42.8,34.3,,
1990,15.6,18.9,25,32.2,37.6,43.1,46.9,47,49.6,51.5,53.6,56.6,58.8,58.1,55.9,50.5,41.9,33.1,24.1,,
1992,36.9,44,47,52.6,57.5,63.8,66.2,68.5,66.1,69,71.8,70.7,74.5,70.8,68.3,63.8,56.8,50.8,36,,
1994,15.4,21.5,25.8,31.4,38,44,48,52.1,52.4,54.1,56.9,59.4,61.3,61.5,60.7,53.2,47.5,37.6,30.1,,
1996,28.1,32,39.1,43.6,49,53.5,58.2,61.5,61.3,65.1,68.1,68,70,69,65.5,65.9,54.3,48.8,35.8,,
1998,13,18,22.1,28.6,32.9,37.8,42.5,47.6,49.1,51.4,55.5,57.5,60.1,60.3,59,52.4,45,39.5,27.9,,
2000,27.1,35.4,41.6,48,52.3,56.3,59.4,62.4,65.3,65.8,68.1,70.3,71.8,70.3,66.6,65.3,61.4,54.2,42.5,,
2002,13.7,18.6,22.7,28.7,34,38.5,43.9,47.6,49.7,53.5,55.1,57.9,60.1,61.2,60.9,51.1,,,,,
2004,42,44.7,48.7,53.6,59.7,61.4,63.7,66.3,69.3,71.4,72,73,71.6,71.3,72.5,67.5,54.9,,,,
2006,15.6,20.9,24.5,29.3,35,38.7,43.2,45.4,50.3,54.5,58.7,60.5,59,59,60.9,56.1,42.8,,,,
2008,42,49.8,53.7,56.7,59.2,64.1,64.3,67,68,73,73.1,72.3,74.7,71.8,73,69.4,56.1,,,,
2010,16.3,21.6,23.1,29.8,34.3,39.3,42.7,46.1,49.9,54.7,58.1,59.9,62.1,60.4,62.1,58.5,45.6,,,,
2012,34.6,41.1,47.6,51.7,55.2,57.8,60.9,63.1,65.3,68.9,70.5,72.5,74,72.9,74.3,70.2,58.5,,,,
2014,12.6,16.2,20,25.3,29.6,32.4,35.6,37.7,42.2,45.8,50,54,58.1,58.8,58.9,56.8,43,,,,
2016,37.7,44.3,47.6,53.4,55.8,59.2,61.5,65.4,65.9,66.3,68.6,71.9,72.9,76.8,72.8,71,59.6,,,,
2018,26.8,32.7,36.4,39.9,43.8,48,51.3,53.9,56.2,55.7,60.9,66,68.2,66.7,70,62.7,52.3,,,,
